"iox::measurement","time","machineID","vibration"
"machine_data",2023-06-21 12:07:54.799332500,"machine1",71
"machine_data",2023-06-21 12:07:55.031291809,"machine1",58
"machine_data",2023-06-21 12:07:56.031963473,"machine1",60
"machine_data",2023-06-21 12:07:57.033159195,"machine1",73
"machine_data",2023-06-21 12:07:58.033690069,"machine1",74
"machine_data",2023-06-21 12:07:59.034789263,"machine1",54
"machine_data",2023-06-21 12:08:00.035010246,"machine1",71
"machine_data",2023-06-21 12:08:01.035700531,"machine1",76
"machine_data",2023-06-21 12:08:02.036243754,"machine1",52
"machine_data",2023-06-21 12:08:03.036894190,"machine1",50
"machine_data",2023-06-21 12:08:04.037800364,"machine1",78
"machine_data",2023-06-21 12:08:05.042634026,"machine1",59
"machine_data",2023-06-21 12:08:06.042165167,"machine1",76
"machine_data",2023-06-21 12:08:07.042695236,"machine1",63
"machine_data",2023-06-21 12:08:08.043301301,"machine1",74
"machine_data",2023-06-21 12:08:09.044035431,"machine1",72
"machine_data",2023-06-21 12:08:10.044829715,"machine1",69
"machine_data",2023-06-21 12:08:11.045450768,"machine1",78
"machine_data",2023-06-21 12:08:12.046142787,"machine1",66
"machine_data",2023-06-21 12:08:13.046828672,"machine1",68
"machine_data",2023-06-21 12:08:14.047778068,"machine1",54
"machine_data",2023-06-21 12:08:15.048091782,"machine1",85
"machine_data",2023-06-21 12:08:16.048464000,"machine1",83
"machine_data",2023-06-21 12:08:17.049156066,"machine1",88
"machine_data",2023-06-21 12:08:18.049909205,"machine1",80
"machine_data",2023-06-21 12:08:19.050365628,"machine1",89
"machine_data",2023-06-21 12:08:20.050712943,"machine1",80
"machine_data",2023-06-21 12:08:21.051606029,"machine1",88
"machine_data",2023-06-21 12:08:22.051879822,"machine1",84
"machine_data",2023-06-21 12:08:23.053071186,"machine1",88
"machine_data",2023-06-21 12:08:24.053764785,"machine1",85
"machine_data",2023-06-21 12:08:25.054394625,"machine1",88
"machine_data",2023-06-21 12:08:26.055044560,"machine1",86
"machine_data",2023-06-21 12:08:27.056484571,"machine1",81
"machine_data",2023-06-21 12:08:28.057113649,"machine1",84
"machine_data",2023-06-21 12:08:29.057633126,"machine1",84
"machine_data",2023-06-21 12:08:30.058727160,"machine1",85
"machine_data",2023-06-21 12:08:31.059293587,"machine1",87
"machine_data",2023-06-21 12:08:32.059950012,"machine1",84
"machine_data",2023-06-21 12:08:33.060509415,"machine1",86
"machine_data",2023-06-21 12:08:34.061050789,"machine1",85
"machine_data",2023-06-21 12:08:35.062515317,"machine1",87
"machine_data",2023-06-21 12:08:36.062669971,"machine1",90
"machine_data",2023-06-21 12:08:37.063660401,"machine1",80
"machine_data",2023-06-21 12:08:38.064337444,"machine1",81
"machine_data",2023-06-21 12:08:39.064925526,"machine1",81
"machine_data",2023-06-21 12:08:40.066016814,"machine1",82
"machine_data",2023-06-21 12:08:41.066251357,"machine1",85
"machine_data",2023-06-21 12:08:42.066788547,"machine1",84
"machine_data",2023-06-21 12:08:43.067749826,"machine1",85
"machine_data",2023-06-21 12:08:44.068272507,"machine1",87
"machine_data",2023-06-21 12:08:45.068839303,"machine1",85
"machine_data",2023-06-21 12:08:46.069301241,"machine1",87
"machine_data",2023-06-21 12:08:47.070028163,"machine1",87
"machine_data",2023-06-21 12:08:48.070471459,"machine1",84
"machine_data",2023-06-21 12:08:49.070925461,"machine1",88
"machine_data",2023-06-21 12:08:50.071627882,"machine1",86
"machine_data",2023-06-21 12:08:51.072079100,"machine1",86
"machine_data",2023-06-21 12:08:52.072994794,"machine1",84
"machine_data",2023-06-21 12:08:53.073423760,"machine1",88
"machine_data",2023-06-21 12:08:54.074219615,"machine1",82
"machine_data",2023-06-21 12:08:55.074943296,"machine1",87
"machine_data",2023-06-21 12:08:56.075301815,"machine1",80
"machine_data",2023-06-21 12:08:57.076679320,"machine1",80
"machine_data",2023-06-21 12:08:58.077522694,"machine1",84
"machine_data",2023-06-21 12:08:59.078177932,"machine1",84
"machine_data",2023-06-21 12:09:00.078898782,"machine1",85
"machine_data",2023-06-21 12:09:01.079955974,"machine1",86
"machine_data",2023-06-21 12:09:02.080407312,"machine1",89
"machine_data",2023-06-21 12:09:03.080907626,"machine1",83
"machine_data",2023-06-21 12:09:04.081602772,"machine1",86
"machine_data",2023-06-21 12:09:05.082195494,"machine1",86
"machine_data",2023-06-21 12:09:06.082961235,"machine1",89
"machine_data",2023-06-21 12:09:07.083616447,"machine1",81
"machine_data",2023-06-21 12:09:08.084024967,"machine1",87
"machine_data",2023-06-21 12:09:09.084710681,"machine1",81
"machine_data",2023-06-21 12:09:10.085006478,"machine1",81
"machine_data",2023-06-21 12:09:11.085620328,"machine1",81
"machine_data",2023-06-21 12:09:12.086361401,"machine1",86
"machine_data",2023-06-21 12:09:13.086879671,"machine1",88
"machine_data",2023-06-21 12:09:14.088043325,"machine1",88
"machine_data",2023-06-21 12:09:15.088497793,"machine1",85
"machine_data",2023-06-21 12:09:16.089613296,"machine1",80
"machine_data",2023-06-21 12:09:17.089889362,"machine1",89
"machine_data",2023-06-21 12:09:18.091316877,"machine1",81
"machine_data",2023-06-21 12:09:19.091250517,"machine1",80
"machine_data",2023-06-21 12:09:20.092166302,"machine1",90
"machine_data",2023-06-21 12:09:21.092948523,"machine1",89
"machine_data",2023-06-21 12:09:22.094088761,"machine1",89
"machine_data",2023-06-21 12:09:23.094430212,"machine1",88
"machine_data",2023-06-21 12:09:24.095967645,"machine1",90
"machine_data",2023-06-21 12:09:25.096317437,"machine1",89
"machine_data",2023-06-21 12:09:26.097166743,"machine1",87
"machine_data",2023-06-21 12:09:27.098595173,"machine1",81
"machine_data",2023-06-21 12:09:28.099379924,"machine1",85
"machine_data",2023-06-21 12:09:29.099851858,"machine1",90
"machine_data",2023-06-21 12:09:30.100449920,"machine1",88
