time,vibration,is_anomalous,mse_percentage
2023-11-02 17:31:36.846365,91,False,81.02788908476182
2023-11-02 17:31:37.361489,91,False,78.0910768538701
2023-11-02 17:31:37.850506,91,False,78.21460632254733
2023-11-02 17:31:38.346031,91,False,77.65945521364783
2023-11-02 17:31:39.842490,90,False,59.314394534309265
2023-11-02 17:31:40.339028,90,False,62.02987078718768
2023-11-02 17:31:40.839776,90,False,62.93962294031221
2023-11-02 17:31:41.341449,90,False,62.21880379197613
2023-11-02 17:31:41.842383,90,False,62.77503952137559
2023-11-02 17:31:42.346221,90,False,62.34743742408742
2023-11-02 17:31:42.847018,90,False,61.94474426710943
2023-11-02 17:31:43.358839,90,False,62.01671267893714
2023-11-02 17:31:43.883836,90,False,61.87128551894225
2023-11-02 17:31:44.404070,90,False,62.074607967358034
2023-11-02 17:31:44.926536,90,False,62.30731361356459
2023-11-02 17:31:46.508549,90,False,62.773409770534904
2023-11-02 17:31:47.049218,90,False,62.73875362967931
2023-11-02 17:31:47.582809,90,False,62.53597805756858
2023-11-02 17:31:47.854275,90,False,62.600177174378366
2023-11-02 17:31:48.527075,90,False,62.27384427313838
2023-11-02 17:31:48.859500,90,False,62.47447572249023
2023-11-02 17:31:49.356554,90,False,62.60960418836243
2023-11-02 17:31:49.880828,83,False,0.05832307529662031
2023-11-02 17:31:50.377205,83,False,2.6676755372649277
2023-11-02 17:31:50.859106,83,False,2.6311659073312548
2023-11-02 17:31:51.357225,83,False,1.7620180522855189
2023-11-02 17:31:52.871341,83,False,1.3531631380594822
2023-11-02 17:31:53.355464,83,False,1.0469789019231712
2023-11-02 17:31:53.859585,83,False,1.0207415024024324
2023-11-02 17:31:54.359371,83,False,1.4211130625439656
2023-11-02 17:31:54.863800,83,False,1.3901492677493075
2023-11-02 17:31:55.361064,83,False,1.5156333121036714
2023-11-02 17:31:55.858394,83,False,1.5161285998124985
2023-11-02 17:31:56.359869,83,False,1.4443002861146959
2023-11-02 17:31:56.858426,83,False,1.2930434483005038
2023-11-02 17:31:57.360348,90,False,77.36664475932888
2023-11-02 17:31:58.872616,90,False,62.56206393150856
2023-11-02 17:31:59.466167,91,False,77.34719730297519
2023-11-02 17:31:59.870176,91,False,73.94211263432483
2023-11-02 17:32:00.391941,91,False,74.4075837365218
2023-11-02 17:32:00.992247,91,False,72.85756051413448
2023-11-02 17:32:01.371163,90,False,56.90917238931156
2023-11-02 17:32:01.875987,91,False,75.61822817787642
2023-11-02 17:32:02.371903,91,False,77.4006941176643
2023-11-02 17:32:02.882196,91,False,75.38806079183966
2023-11-02 17:32:03.370488,90,False,57.69418819129546
2023-11-02 17:32:04.876850,90,False,60.00484574100362
2023-11-02 17:32:05.375420,91,False,79.00797538720359
2023-11-02 17:32:05.879047,91,False,77.09070269189682
2023-11-02 17:32:06.377955,91,False,77.93296811186977
2023-11-02 17:32:06.876544,90,False,60.58340739302983
2023-11-02 17:32:08.419317,90,False,63.900135973924634
2023-11-02 17:32:08.976742,90,False,63.21011389143653
2023-11-02 17:32:09.386822,90,False,63.27984117176242
2023-11-02 17:32:09.877189,90,False,61.94087162301313
2023-11-02 17:32:11.380106,91,False,80.64292321130098
2023-11-02 17:32:11.897137,90,False,59.92266469955734
2023-11-02 17:32:12.380324,90,False,62.78110761225578
2023-11-02 17:32:12.887632,90,False,62.41607584639019
2023-11-02 17:32:13.389524,90,False,62.79819836348233
2023-11-02 17:32:14.905114,90,False,62.94559115153646
2023-11-02 17:32:15.396500,90,False,63.207715830405185
